"","Experiment","Age","Ethnicity","Gender","Language","Question","Answer","ID","Condition","P1","P2","P3","CorrectAnswer","Correct","SI1","SI2","SI3","P1cor","P2cor","P3cor","P1con","P2con","P3con","Congruency","AgeDif1","AgeDif2","AgeDif3"
"72","SoccultExamDan.2021-05-13-2110.data.23e4b411-85eb-472d-b542-fe679d671c8c.txt",22,"Denmark","0","Danish",4,4,9,1,59,43,54,4,1,3,3,3,0,0,0,0,0,0,0,37,21,32
"73","SoccultExamDan.2021-05-14-1017.data.bcdf5496-ab10-4ed0-b355-7ed7db32a9e5.txt",21,"Denmark","1","Danish",4,4,10,1,59,43,54,4,1,3,3,3,0,0,0,0,0,0,0,38,22,33
"74","SoccultExamDan.2021-05-14-1026.data.8030da60-12a4-4a97-84bb-7e2ccf3adc57.txt",22,"Ungarn","0","Danish",4,3,11,1,59,43,54,4,0,3,3,3,0,0,0,1,1,1,3,37,21,32
"75","SoccultExamDan.2021-05-14-1026.data.d465a015-8548-4032-bc16-de5263430b14.txt",24,"Denmark","1","Danish",4,4,12,1,59,43,54,4,1,3,3,3,0,0,0,0,0,0,0,35,19,30
"76","SoccultExamDan.2021-05-14-1026.data.ed780bc0-f8f7-4711-abad-0d16232e6f5a.txt",23,"Denmark","1","Danish",4,4,13,1,59,43,54,4,1,3,3,3,0,0,0,0,0,0,0,36,20,31
"77","SoccultExamDan.2021-05-14-1034.data.880f1501-d5c5-4405-8522-19bc60d37bf2.txt",21,"Denmark","1","Danish",4,4,14,1,59,43,54,4,1,3,3,3,0,0,0,0,0,0,0,38,22,33
"78","SoccultExamDan.2021-05-14-1120.data.688c3dbd-393b-4896-9412-e57a1879f78b.txt",25,"Denmark","1","Danish",4,4,15,1,59,43,54,4,1,3,3,3,0,0,0,0,0,0,0,34,18,29
"79","SoccultExamDan.2021-05-14-1128.data.457f3882-9e41-41e1-8f43-3c1675586cde.txt",21,"Denmark","0","Danish",4,4,16,1,59,43,54,4,1,3,3,3,0,0,0,0,0,0,0,38,22,33
"80","SoccultExamDan.2021-05-14-1353.data.eed89846-4853-4c3b-b1ad-2c0fd80fb5ee.txt",20,"Denmark","1","Danish",4,4,17,1,59,43,54,4,1,3,3,3,0,0,0,0,0,0,0,39,23,34
"81","SoccultExamDan.2021-05-14-1437.data.cb0ac57e-e1f7-48ea-80ec-bbfc0d8e1be7.txt",22,"Denmark","0","Danish",4,4,18,1,59,43,54,4,1,3,3,3,0,0,0,0,0,0,0,37,21,32
"82","SoccultExamDan.2021-05-14-1731.data.d32662e0-2c41-4c39-8508-e974f226dd2b.txt",20,"Denmark","1","Danish",4,4,19,1,59,43,54,4,1,3,3,3,0,0,0,0,0,0,0,39,23,34
"83","SoccultExamDan.2021-05-14-1907.data.26a34c00-9693-4e6f-bbf0-5f00341100e9.txt",22,"Denmark","1","Danish",4,4,20,1,59,43,54,4,1,3,3,3,0,0,0,0,0,0,0,37,21,32
"84","SoccultExamDan.2021-05-14-2029.data.40f6a1f3-7a2d-48a9-9237-c16b80d02e66.txt",21,"Denmark","0","Danish",4,4,21,1,59,43,54,4,1,3,3,3,0,0,0,0,0,0,0,38,22,33
